oxy,no2,po4,no3,gtnum,station,depth,fe2,mn,dfe
281.8,0.6,0.98,7.51,2126,1,19.9,0,3.31,0.11
277.2,0.62,1.05,7.77,2124,1,30.1,0,3.29,0.14
269.6,0.6,1.3,7.42,2122,1,44.9,3,3.07,0.18
236.5,0.67,1.47,9.63,2120,1,65.6,1,3.24,0.26
1,3.02,2.63,17.92,2118,1,79.9,5.5,2.89,1.23
0.9,2.18,2.44,22.98,2116,1,130.7,1.8,1.27,0.47
1,5.13,2.46,20.3,2114,1,180.6,3.3,1.17,1.34
1.1,1.75,2.5,25.56,2112,1,210.9,2.5,1.07,0.97
1.2,8.97,2.55,14.77,2110,1,235.4,5.5,1.37,1.54
1.2,3.1,2.54,25.55,2108,1,260.2,4.9,0.98,1.03
1.4,5.57,2.58,23.53,2106,1,299.8,4.4,0.98,1.09
92.5,1.25,2.19,14.45,2263,2,19.8,0.93,2.15,0.89
92.5,1.25,2.19,14.45,2263,2,19.8,0.92,2.15,0.89
37.5,0.69,2.44,17.49,2261,2,37.8,0.95,2.42,1.5
37.5,0.69,2.44,17.49,2261,2,37.8,0.94,2.42,1.5
1.1,5.2,2.5,16.97,2257,2,69.9,6.55,1.74,5.8
1.1,5.2,2.5,16.97,2257,2,69.9,6.42,1.74,5.8
1.2,5.74,2.49,17,2255,2,90.1,15.43,1.65,21.1
1.2,5.74,2.49,17,2255,2,90.1,13.29,1.65,21.1
1.2,4.93,2.53,1.1,2252,2,110.5,25.25,2.19,39.3
1.2,4.93,2.53,1.1,2252,2,110.5,25.39,2.19,39.3
14.9,1.13,2.56,19.09,2309,3,19.8,0.09,2.87,1.27
6.1,2.94,2.6,15.17,2307,3,30.1,0.12,2.78,1.28
1,5.49,2.55,12.58,2305,3,34.4,0.2,2.11,1.24
1,9.3,2.51,6.15,2303,3,50.4,0.49,2.12,2.5
1.1,6.93,2.49,14.85,2301,3,68.8,0.96,1.65,2.4
1.2,8.83,2.53,11.61,2299,3,89.7,1.27,1.66,3.2
1.3,2.91,2.54,21.86,2295,3,171.2,7.29,1.22,14.7
191.3,0.56,1.81,12.31,2367,4,20.3,NA,2.46,0.57
0.9,0.39,2.6,20.47,2365,4,50,NA,2.85,1.12
0.8,3.3,2.49,19.46,2363,4,66.5,0.5,1.75,1
0.8,10.56,2.52,8.6,2361,4,111,1.32,1.89,2.31
0.9,8.59,2.53,13.59,2359,4,140.3,1.23,1.54,2.7
0.9,5.07,2.53,22.48,2357,4,201.3,0.91,1.1,1.14
1,3.71,2.68,27.16,2355,4,299.9,2.65,1.04,3
1.1,0.88,2.92,35.23,2353,4,401.3,1.81,0.95,2.9
1.8,0,3.08,41.23,2351,4,500.2,1.05,0.83,2.11
4.6,0,3.18,43.5,2349,4,600,1.64,0.82,2.9
10.6,0,3.23,44.96,2347,4,675.5,2.76,0.77,3.2
28,0,3.24,44.77,2345,4,755.4,3.07,0.66,3.3
269.2,0.46,1.37,11.58,2482,5,20.1,0.04,2.5,0.28
159.6,0.49,1.88,15.98,2480,5,39.7,0.04,2.51,0.48
0.8,9.57,2.46,4.3,2476,5,75.6,0.36,2.34,1.61
0.9,6.37,2.4,15.76,2472,5,121.1,0.63,1.59,1.58
0.9,3.87,2.39,21.32,2470,5,150.2,0.54,1.27,1.31
1,6.28,2.44,18.95,2468,5,200.6,0.66,1.3,1.69
1.1,6.41,2.48,21.43,2466,5,266.7,0.43,1.19,1.33
1.2,6.04,2.63,24.67,2464,5,330.8,0.44,0.98,1.29
1.3,1.38,2.73,33.21,2462,5,380.4,0.29,0.85,1.31
2.8,0,2.99,41.62,2460,5,500.4,0.29,0.725,1.2999999999999998
128.4,0,2.85,38.46,3333,9,2251.5,0.01,0.28500000000000003,0.995
141.9,0,2.78,37.59,3331,9,2500.4,0.01,0.23,0.86
148.5,0,2.74,37.16,3329,9,2751.5,0.04,0.22,0.74
157.4,0,2.69,36.52,3327,9,3000.4,-0.02,0.21,0.75
161.5,0,2.66,36.2,3325,9,3251,0,0.18,0.79
162.8,0,2.65,36.06,3323,9,3501.1,-0.01,0.15,0.54
162.4,0,2.65,36.13,3321,9,3751.3,0.12,0.16,0.53
162.3,0,2.65,36.08,3319,9,4000.7,0.1,0.17,0.55
162.2,0,2.65,36.09,3317,9,4050.8,0.05,0.15,0.68
161.9,0,2.66,36.18,3315,9,4074.5,0.04,0.17,0.55
161.9,0,2.66,36.18,3315,9,4074.5,0.01,0.17,0.55
161.5,0,2.65,36.18,3313,9,4100.4,0.02,0.16,0.61
162,0,2.65,36.12,3311,9,4114.5,0.01,0.16,0.56
270.2,0.45,1.15,13.9,3391,9,20.3,0.02,3.9,0.09
269.4,0.45,1.16,13.81,3389,9,40.9,0.02,3.99,0.11
262.4,0.52,1.25,13.26,3387,9,60.6,-0.04,4.22,0.14
26.7,0.06,2.36,23.3,3385,9,100.4,0.01,2.88,0.4
0.9,2.1,2.62,16.03,3383,9,120.4,0.1,3.73,0.92
1,5.7,2.62,10.51,3381,9,136,0.3,4.36,0.9
1,5.08,2.61,13.35,3379,9,154.9,0.16,3.44,1.16
1.1,5.08,2.6,14.97,3377,9,175.2,0.24,3.05,0.93
1.2,5.06,2.6,16.97,3375,9,200.6,0.2,2.33,0.98
1.3,0.66,2.58,28.63,3373,9,250.3,0.03,1.27,0.8
1.8,0.02,2.64,32.37,3371,9,299.9,0.05,1.07,0.81
3.4,0,2.72,35.34,3369,9,351,0.04,0.8999999999999999,0.73
1.7,0,2.71,34.41,3441,9,351.1,0.05,0.8999999999999999,0.73
2.5,0,2.82,37.58,3439,9,399,0.11,0.81,0.85
7.7,0.03,2.88,39.73,3437,9,449.8,0.18,0.68,0.83
11.8,0,2.98,41.71,3435,9,500.4,0.23,0.6,0.87
24.2,0,3.12,44.47,3433,9,625.1,0.07,0.51,0.84
45.2,0,3.1,44.13,3431,9,749.4,0.02,0.35,0.59
65,0,3.13,43.27,3429,9,999.5,0.01,0.3,0.77
84.8,0,3.07,41.82,3427,9,1250.8,0.1,0.26,0.84
100.3,0,3.02,40.77,3425,9,1499.7,0.01,0.24,0.75
113.2,0,2.95,39.72,3423,9,1749,-0.03,0.27,0.87
120.1,0,2.9,39.06,3421,9,2001.2,0.07,0.3,0.94
130.7,0,2.84,38.33,3419,9,2250.7,0.03,0.28,0.995
116.3,0,2.89,39.37,3518,11,1751.2,0,0.185,0.6699999999999999
127.6,0,2.84,38.52,3516,11,2001.7,0,0.22,0.68
142,0,2.76,37.55,3514,11,2251.7,0.01,0.19,0.59
160,0,2.65,36.31,3512,11,2500.4,0.02,0.2,0.63
163.5,0,2.64,36.08,3510,11,2752.2,0.05,0.2,0.67
161.3,0,2.65,36.23,3508,11,3001.6,0.03,0.14,0.56
160,0,2.65,36.3,3504,11,3376.2,-0.03,0.15,0.49
159.7,0,2.65,36.3,3502,11,3500.7,0,0.16,0.52
159.3,0,2.65,36.37,3500,11,3603.1,0.01,0.16,0.55
159.3,0,2.65,36.28,3498,11,3626.4,0.07,0.15,0.49
158.8,0,2.65,36.31,3496,11,3645.7,0.08,0.18,0.57
262.2,0.33,0.85,9.42,3567,11,21,0,2.2,0.05
262.4,0.34,0.86,9.39,3565,11,40.1,-0.01,2.18,0.06
253.1,0.41,0.8,6.59,3563,11,75.1,-0.01,2.48,0.08
218.7,0.94,0.86,7.07,3561,11,110,0,1.74,0.08
163.6,0.04,1.3,14.3,3559,11,129.9,0.01,1.14,0.11
83.7,0.02,1.94,20.52,3557,11,156.5,-0.01,1.21,0.21
1.1,0.44,2.64,18.95,3553,11,200.8,0.04,2.77,0.59
1.2,2.43,2.63,18.45,3551,11,219.8,0.02,2.43,0.62
1.3,0.92,2.64,22.92,3549,11,235.8,0.02,1.96,0.61
1.6,0,2.64,27.14,3547,11,260.5,0,1.44,0.59
5.3,0,2.62,33.83,3545,11,319.9,0.02,0.65,0.55
5.2,0,2.63,35.02,3636,11,321.5,0.05,0.6,0.53
7.4,0,2.68,36.3,3634,11,350.8,0,0.55,0.57
12,0,2.73,38.11,3632,11,400.8,-0.01,0.45,0.56
23.4,0,2.87,41.14,3630,11,500.6,0.03,0.38,0.65
39.9,0,2.92,42.39,3628,11,601.1,0,0.3,0.45
34.5,0,3.08,44.43,3626,11,700.8,0,0.31,0.57
49.2,0,3.07,44.16,3624,11,801,0,0.27,0.54
63.6,0,3.05,43.39,3622,11,900.6,0.02,0.23,0.51
75.3,0,3.02,42.5,3620,11,1001.4,0.02,0.2,0.56
91.6,0,2.99,41.43,3618,11,1251,0.02,0.19,0.62
116.4,0,2.87,39.61,3614,11,1750.6,-0.02,0.185,0.6699999999999999
162.8,0,2.62,36.13,3763,13,2400.8,0.01,0.27,0.89
165.8,0,2.61,35.86,3761,13,2601.4,0.01,0.3,1.01
164,0,3.08,42.65,3759,13,2800.7,0.06,0.27,0.82
162.6,0,2.65,36.21,3757,13,3001,0.01,0.22,0.82
160.3,0,2.65,36.39,3755,13,3201.3,0.01,0.17,0.63
157.9,0,2.67,36.59,3753,13,3399.7,0.01,0.17,0.6
156.3,0,2.69,36.81,3751,13,3601.1,0,0.19,0.76
155.3,0,2.7,36.85,3745,13,3799.8,0.01,0.18,0.81
260.4,0.1,0.49,3.02,3813,13,20.2,0,2.15,0.08
259.9,0.08,0.47,2.3,3811,13,40.9,0,2.25,0.06
259.6,0.07,0.45,1.94,3809,13,59.5,-0.01,2.26,0.08
204,0.21,0.86,8.01,3805,13,146.1,-0.01,1.42,0.09
9.2,0.02,2.47,22.5,3803,13,200.5,0,2.19,0.3
9.2,0.02,2.47,22.5,3803,13,200.5,NA,2.19,0.3
1,2.22,2.56,20.74,3801,13,250.3,0.04,2.09,0.54
1.1,1.29,2.58,24.63,3799,13,275,0.07,1.68,0.61
7.7,0,2.64,35.96,3795,13,399.7,0.01,0.62,0.51
31,0,2.71,39.47,3793,13,519.8,0.01,0.4,0.42
35.8,0,2.82,41.19,3791,13,600.7,0.02,0.4,0.6
36.9,0,2.86,41.41,3876,13,601.9,0.02,0.41000000000000003,0.56
43.4,0,2.95,42.46,3874,13,699.5,0.02,0.4,0.52
47.9,0,3.07,43.93,3872,13,799.9,0.02,0.37,0.55
52.9,0,3.12,44.04,3870,13,900.2,0.04,0.34,0.82
64.5,0,3.09,43.28,3868,13,999.9,0.03,0.31,0.82
84.1,0,3.05,41.82,3866,13,1200.4,0.01,0.26,0.83
96.2,0,3,41.09,3864,13,1401.2,0.02,0.25,0.87
111.5,0,2.92,39.86,3862,13,1600.9,0.01,0.24,0.6
124.4,0,2.85,38.88,3860,13,1800.3,0.01,0.24,0.57
134.4,0,2.79,38.21,3858,13,1999.8,-0.01,0.26,0.79
148.1,0,2.7,37.26,3856,13,2200.9,-0.01,0.25,0.77
164,0,2.61,36.15,3854,13,2400.3,-0.01,0.27,0.89
164.9,0,2.59,36.19,3952,15,2499.9,0.01,0.23,0.8300000000000001
164.9,0,2.59,36.19,3952,15,2499.9,0.01,0.23,0.8300000000000001
165.2,0,2.58,36.03,3950,15,2603.2,0.01,0.23,0.84
165,0,2.61,36.28,3948,15,2700.1,0.02,0.23,0.86
164.2,0,2.62,36.36,3946,15,2800.8,0.01,0.22,0.89
161.6,0,2.63,36.47,3944,15,2998.8,0.01,0.2,0.8
158.9,0,2.65,36.75,3942,15,3250.3,0.01,0.2,0.79
156.2,0,2.65,37.04,3940,15,3500.2,0.01,0.19,0.82
154.6,0,2.65,37.17,3938,15,3750.9,0.01,0.2,0.81
154.5,0,2.67,37.19,3936,15,3800.4,0.01,0.2,0.8
154.5,0,2.67,37.19,3936,15,3800.4,0.02,0.2,0.8
154.3,0,2.68,37.15,3934,15,3852,0.02,0.2,0.83
154.3,0,2.69,37.15,3932,15,3899.8,0.02,0.21,0.79
52.8,0,2.68,39.04,8202,15,500.3,0.04,0.31,0.43
69.9,0,2.73,39.91,8200,15,626.2,0.03,0.26,0.33
69.9,0,2.73,39.91,8200,15,626.2,0.04,0.26,0.33
66.9,0,2.93,42.12,8198,15,750.2,0.07,0.28,0.49
78.3,0,3.01,42.3,8196,15,1001.5,0.04,NaN,0.51
78.3,0,3.01,42.3,8196,15,1001.5,0.04,NaN,0.51
92.9,0,3.01,41.39,8194,15,1250.8,0.02,0.21,0.67
92.9,0,3.01,41.39,8194,15,1250.8,-0.02,0.21,0.67
108.9,0,2.93,40.2,8192,15,1500.6,0.04,0.22,0.63
108.9,0,2.93,40.2,8192,15,1500.6,0.04,0.22,0.63
123.8,0,2.85,39.13,8190,15,1750,0.05,0.21,0.62
123.8,0,2.85,39.13,8190,15,1750,0,0.21,0.62
139.9,0,2.76,37.89,8188,15,2001.3,0,0.22,0.6
139.9,0,2.76,37.89,8188,15,2001.3,0.06,0.22,0.6
154,0,2.68,36.9,8186,15,2201.1,0.01,0.21,0.63
158.8,0,2.65,36.54,8184,15,2300,0.03,0.23,0.62
162.5,0,2.55,36.06,8277,17,2501.5,0,0.29000000000000004,0.65
162.8,0,2.59,36.38,8275,17,2600.2,0.01,0.27,0.68
162,0,2.66,37.31,8273,17,2701,0.01,0.25,3.2
161.2,0,2.59,36.39,8271,17,2800.6,0,0.27,0.73
159.7,0,2.6,36.48,8269,17,2902.3,0,0.25,0.68
158.3,0,2.62,36.61,8267,17,3000.1,0,0.24,0.68
156.3,0,2.62,36.85,8265,17,3201.5,0,0.23,0.68
155.7,0,2.63,36.74,8263,17,3400.7,0,0.23,0.72
155,0,2.65,36.86,8261,17,3600.9,0,0.29,0.39
155.1,0,2.65,36.91,8257,17,3676,0,0.23,0.69
155,0,2.65,36.95,8255,17,3693,0,0.21,0.67
77.9,0,2.81,40.99,8382,17,749.7,0.01,0.28,0.48
91,0,2.86,40.81,8380,17,1001.3,0,0.24,0.45
109.1,0,2.86,40.04,8376,17,1251.3,0.04,0.25,0.88
120,0,2.83,39.28,8374,17,1500.5,0.03,0.21,0.54
133.2,0,2.75,38.31,8372,17,1750.9,0.02,0.3,0.8
146.3,0,2.69,37.33,8370,17,2000.2,0.01,0.28,0.61
152,0,2.67,36.98,8368,17,2100.2,0,0.32,0.74
156.3,0,2.65,36.67,8366,17,2200.4,0,0.32,0.76
159.8,0,2.64,36.52,8364,17,2301.7,0,0.27,0.64
162.4,0,2.63,36.36,8362,17,2400.2,0,0.52,0.42
163.2,0,2.64,36.33,8360,17,2501.9,-0.01,0.29000000000000004,0.65
171.7,0,2.54,35.36,8604,18,2301.1,0.19,1.45,1.95
173.9,0,2.54,35.22,8602,18,2326.7,0.08,4.7,3.4
174,0,2.53,35.15,8600,18,2351,0.08,4.376666666666667,2.8333333333333335
174.4,0,2.53,35.22,8598,18,2375.8,0.13,9.8,2.55
174.5,0,2.53,35.18,8596,18,2400.9,0.09,10,4.35
174.1,0,2.53,35.15,8594,18,2425,0.07,12.600000000000001,5.15
173.6,0,2.54,35.16,8592,18,2449.7,0.09,11.65,5.5
173.5,0,2.54,35.17,8590,18,2474.9,0.1,11.5,6.25
171.5,0,2.55,35.28,8588,18,2500.7,0.08,16.1,8.4
172,0,2.55,35.28,8586,18,2550.8,1.91,13.8,14
172.2,0,2.55,35.3,8584,18,2625.5,0.5,11.3,7.85
172.2,0,2.56,35.29,8582,18,2626.6,0.42,11.2,7.6
173,0,2.5,35,8652,20,2450.5,-0.01,4.445,2.825
173.2,0,2.52,35.09,8650,20,2500.7,-0.01,4.81,2.91
173.1,0,2.53,35.09,8648,20,2551.5,0.01,3.49,2.57
173.2,0,2.54,35.21,8646,20,2600.4,0.02,3.06,2.52
173.8,0,2.53,35.19,8644,20,2650.4,0,2.82,2.48
174.5,0,2.53,35.1,8642,20,2700.3,0.01,2.14,2.36
174.9,0,2.54,35.16,8640,20,2752.2,0.02,1.9,2.26
176.2,0,2.54,35.16,8638,20,2799.7,0,1.49,2.11
176.8,0,2.52,35.06,8636,20,2899.7,-0.01,1.28,1.88
177.9,0,2.53,35.02,8634,20,3000.7,0.01,0.9,1.72
178.3,0,2.54,35,8632,20,3100.4,0,0.74,1.67
178,0,2.54,34.99,8630,20,3161.3,0.07,0.7,1.66
